N,A,pre_label
-4.258794315,12.54076929,1
-4.682557463,-3.411268019,0
-4.682557463,-3.411268019,0
-4.682557463,-3.411268019,0
-4.682557463,-3.411268019,0
-4.682557463,12.54076929,1
-4.682557463,-3.411268019,0
-4.682557463,-3.411268019,0
-3.835031167,-3.411268019,0
-4.682557463,0.993374487,1
-4.682557463,0.993374487,1
-4.682557463,12.54076929,1
-4.682557463,-3.411268019,0
-3.835031167,0.993374487,1
-4.682557463,12.54076929,1
-4.682557463,-3.411268019,0
-4.682557463,12.54076929,1
-4.258794315,0.993374487,1
-4.682557463,0.993374487,1
-4.682557463,12.54076929,1
-4.258794315,12.54076929,1
-4.682557463,-3.411268019,0
-4.682557463,0.993374487,1
-4.682557463,12.54076929,1
-4.682557463,-3.411268019,0
-4.258794315,-3.411268019,0
-4.682557463,12.54076929,1
-3.835031167,12.54076929,1
-4.258794315,0.993374487,1
-4.682557463,0.993374487,1
-4.682557463,12.54076929,1
-4.258794315,0.993374487,1
-4.258794315,0.993374487,1
-4.258794315,12.54076929,1
-4.682557463,12.54076929,1
-4.682557463,12.54076929,1
-4.682557463,0.993374487,1
-4.682557463,0.993374487,1
-4.682557463,-3.411268019,0
-4.682557463,12.54076929,1
-4.682557463,-3.411268019,0
-4.682557463,12.54076929,1
-4.682557463,0.993374487,1
-4.682557463,0.993374487,1
-4.258794315,-3.411268019,0
-4.682557463,0.993374487,1
-4.682557463,12.54076929,1
-4.258794315,0.993374487,1
-4.682557463,-3.411268019,0
-4.682557463,-3.411268019,0
-4.682557463,-3.411268019,0
-4.682557463,12.54076929,1
-4.682557463,-3.411268019,0
-4.682557463,-3.411268019,0
-4.682557463,0.993374487,1
-4.258794315,0.993374487,1
-4.682557463,-3.411268019,0
-4.682557463,-3.411268019,0
-4.258794315,0.993374487,1
-4.682557463,0.993374487,1
-4.682557463,12.54076929,1
-4.682557463,-3.411268019,0
-4.682557463,-3.411268019,0
-4.682557463,12.54076929,1
-4.682557463,-3.411268019,0
-3.835031167,-3.411268019,0
-4.682557463,-3.411268019,0
-4.258794315,-3.835031167,0
-4.682557463,12.54076929,1
-4.682557463,-3.411268019,0
-4.682557463,12.54076929,1
-4.682557463,,0
-4.682557463,,0
